"","Mean","SD","Lower_95","Upper_95"
"mu_alpha",0.297418880965619,0.0898321273639498,0.121923742370344,0.474348090884538
"phi",-0.0382392257973846,0.0295636049917774,-0.0958827071182103,0.0201628039296503
"rmse",4.71817030161243,0.0729886290907487,4.57777062180744,4.86352695782433
"sigma_alpha",1.69094064463534,0.10836100041165,1.47937431101298,1.90381618321668
"sigma_epsilon",3.33711239184392,0.0516735940643002,3.23810462306985,3.44041613127611
