"","Mean","SD","Lower_95","Upper_95"
"gamma00",0.23075816738474,0.172087263861839,-0.106231754410901,0.568638778736944
"gamma10",0.008242151700316,0.0183293575622527,-0.0276507155260029,0.0442730943031011
"rho_u",-0.56224493074056,0.107492093922875,-0.734821243558537,-0.3160541562854
"rmse",4.67981187383531,0.0711881100745481,4.54215489369119,4.82147685578937
"sigma01",-0.20387403754459,0.0778738046141644,-0.373502875853382,-0.0709664072195339
"sigma0_sq",3.01729996751257,0.793634501122765,1.61722768073745,4.71316346778327
"sigma1_sq",0.0410228397827598,0.00878729559608263,0.0263827207462257,0.0604766627686329
"sigma_epsilon",3.3097669016266,0.0503849661287178,3.21302578780772,3.41078828530693
